,client_id,birth_number,client_district_id,birthear,birth_day,birth_month,client_gender,client_age,age_group,disp_id,account_id,disp_type,account_district_id,frequency,account_date,account_date_opened,frequency_statment,accountear,account_month,account_day,loan_id,date,loan_amount,loan_duration,monthly_loan_payment,loan_status,num_days_since_loan_acquired,client_id,account_id_disp,disp_type,card_id,card_type,issued,card_issued_date,district_id,district_name,region,no_of_inhabitants,no._of_municipalities_with_inhabitants_<_499,no._of_municipalities_with_inhabitants_500-1999,no._of_municipalities_with_inhabitants_2000-9999,no._of_municipalities_with_inhabitants_>10000,no._of_cities,ratio_of_urban_inhabitants,average_salary,"unemploymant_rate_""95""","unemploymant_rate_""96""",no._of_enterpreneurs_per_1000_inhabitants,"no._of_commited_crimes_""95""","no._of_commited_crimes_""96""",trans_balance,trans_freq_total,trans_amount,trans_freq_first_3_years,trans_freq_last_3_years,trans_freq_credit,trans_freq_withdraw,trans_last_in_days,order_SUM_amount,order_count,order_bank_Is_AB,order_bank_Is_CD,order_bank_Is_EF,order_bank_Is_GH,order_bank_Is_IJ,order_bank_Is_KL,order_bank_Is_MN,order_bank_Is_OP,order_bank_Is_QR,order_bank_Is_ST,order_bank_Is_UV,order_bank_Is_WX,order_bank_Is_YZ,order_k_Is_LEASING,order_k_Is_POJISTNE,order_k_IS_SIPO,order_k_Is_UVER
0,1,706213,18,1970,13,12,F,29,20,1,1,OWNER,18,POPLATEK MESICNE,1995-03-24,812,MONTHLY,1995,03,24,,,,,,,,1,1,OWNER,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,15994.008368200848,239,1569.7677824267776,,239,102,137,1 days 00:00:00.000000000,2452.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,420,780313,18,1978,13,3,M,21,20,420,343,OWNER,18,POPLATEK MESICNE,1994-04-26,480,MONTHLY,1994,04,26,,,,,,,,420,343,OWNER,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18922.267405063278,316,1563.657278481011,34.0,282,132,184,1 days 00:00:00.000000000,2505.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,499,355708,18,1935,8,7,F,64,60,499,413,OWNER,18,POPLATEK MESICNE,1996-07-09,1285,MONTHLY,1996,07,09,,,,,,,,499,413,OWNER,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,16827.055072463776,138,2022.1159420289864,,138,57,81,1 days 00:00:00.000000000,2107.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,519,800413,18,1980,13,4,M,19,10,519,431,OWNER,18,POPLATEK MESICNE,1996-11-05,1404,MONTHLY,1996,11,05,,,,,,,,519,431,OWNER,95.0,junior,1998-08-01,2038.0,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,36026.02848101263,158,6457.229113924049,,158,54,104,1 days 00:00:00.000000000,7197.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,682,791021,18,1979,21,10,M,20,20,682,568,OWNER,18,POPLATEK MESICNE,1995-03-28,816,MONTHLY,1995,03,28,,,,,,,,682,568,OWNER,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,34868.99158878503,214,5435.391121495326,,214,93,121,1 days 00:00:00.000000000,1408.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1140,460224,18,1946,24,2,M,53,50,1140,945,OWNER,18,POPLATEK MESICNE,1996-08-16,1323,MONTHLY,1996,08,16,,,,,,,,1140,945,OWNER,187.0,classic,1997-09-07,1710.0,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,43368.60326086958,92,6300.621739130429,,92,46,46,1 days 00:00:00.000000000,8215.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1169,415124,18,1941,24,1,F,58,50,1169,970,OWNER,18,POPLATEK MESICNE,1997-07-20,1661,MONTHLY,1997,07,20,,,,,,,,1169,970,OWNER,192.0,classic,1998-06-08,1984.0,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,44588.88924731182,93,6326.338709677417,,93,37,56,1 days 00:00:00.000000000,5260.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1259,660929,18,1966,29,9,M,33,30,1259,1049,OWNER,18,POPLATEK MESICNE,1997-12-04,1798,MONTHLY,1997,12,04,,,,,,,,1259,1049,OWNER,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,29340.55072463767,69,1481.1072463768116,,69,33,36,1 days 00:00:00.000000000,2499.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1376,580903,18,1958,3,9,M,41,40,1376,1145,OWNER,31,POPLATEK MESICNE,1993-07-03,183,MONTHLY,1993,07,03,,,,,,,,1376,1145,OWNER,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18238.610236220506,381,971.2887139107607,87.0,294,133,248,1 days 00:00:00.000000000,1947.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1377,515723,18,1951,23,7,F,48,40,1377,1145,DISPONENT,31,POPLATEK MESICNE,1993-07-03,183,MONTHLY,1993,07,03,,,,,,,,1377,1145,DISPONENT,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18238.610236220506,381,971.2887139107607,87.0,294,133,248,1 days 00:00:00.000000000,1947.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
